PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
1629655,Daniel Gafford,1610612742,DAL,49,11,38,1062.0,2,5,0.4,4,,,,0.4
1642450,Daniss Jenkins,1610612765,DET,59,44,15,1040.0,45,146,0.308,106,16,61,0.262,0.363
1642874,Danny Wolf,1610612751,BKN,55,14,41,1150.0,15,51,0.294,40,10,31,0.323,0.392
203967,Dario Saric,1610612758,SAC,5,1,4,41.0,0,1,0.0,0,0,0,,0.0
1642468,Darius Brown,1610612739,CLE,1,1,0,3.0,0,1,0.0,0,,,,0.0
1629636,Darius Garland,1610612746,LAC,34,18,16,1010.0,87,213,0.408,219,45,118,0.381,0.514
1642357,David Jones Garcia,1610612759,SAS,11,7,4,68.0,2,3,0.667,6,2,3,0.667,1.0
1631223,David Roddy,1610612743,DEN,2,1,1,12.0,0,2,0.0,0,0,2,0.0,0.0
1630558,Davion Mitchell,1610612748,MIA,59,33,26,1667.0,43,98,0.439,105,19,44,0.432,0.536
1630549,Day'Ron Sharpe,1610612751,BKN,62,17,45,1160.0,1,7,0.143,3,1,5,0.2,0.214
1628368,De'Aaron Fox,1610612759,SAS,61,46,15,1916.0,157,385,0.408,364,50,166,0.301,0.473
1629631,De'Andre Hunter,1610612758,SAC,45,24,21,1175.0,60,151,0.397,134,14,59,0.237,0.444
1629001,De'Anthony Melton,1610612744,GSW,38,19,19,866.0,19,85,0.224,46,8,54,0.148,0.271
201599,DeAndre Jordan,1610612740,NOP,10,6,4,163.0,0,0,,0,,,,
1630610,DeJon Jarreau,1610612763,MEM,3,1,2,57.0,1,4,0.25,2,0,2,0.0,0.25
201942,DeMar DeRozan,1610612758,SAC,70,17,53,2208.0,227,497,0.457,462,8,32,0.25,0.465
1629731,Dean Wade,1610612739,CLE,55,33,22,1235.0,5,14,0.357,13,3,7,0.429,0.464
1629028,Deandre Ayton,1610612747,LAL,61,39,22,1682.0,4,16,0.25,8,,,,0.25
1627749,Dejounte Murray,1610612740,NOP,9,5,4,246.0,32,58,0.552,71,7,24,0.292,0.612
1630166,Deni Avdija,1610612757,POR,54,27,27,1803.0,69,204,0.338,169,31,123,0.252,0.414
203471,Dennis Schröder,1610612739,CLE,59,21,38,1479.0,67,189,0.354,149,15,59,0.254,0.394
1641726,Dereck Lively II,1610612742,DAL,7,3,4,115.0,0,0,,0,,,,
1642852,Derik Queen,1610612740,NOP,70,25,45,1731.0,42,120,0.35,86,2,9,0.222,0.358
1627884,Derrick Jones Jr.,1610612746,LAC,38,18,20,1039.0,5,18,0.278,12,2,7,0.286,0.333
1628401,Derrick White,1610612738,BOS,66,44,22,2260.0,184,500,0.368,462,94,286,0.329,0.462
1630217,Desmond Bane,1610612753,ORL,69,38,31,2356.0,133,337,0.395,325,59,172,0.343,0.482
1626164,Devin Booker,1610612756,PHX,54,32,22,1810.0,243,588,0.413,541,55,199,0.276,0.46
1642269,Devin Carter,1610612758,SAC,27,4,23,386.0,6,32,0.188,18,6,20,0.3,0.281
1630170,Devin Vassell,1610612759,SAS,56,43,13,1724.0,97,220,0.441,209,15,49,0.306,0.475
1628415,Dillon Brooks,1610612756,PHX,50,30,20,1530.0,196,456,0.43,436,44,135,0.326,0.478
1641794,Dillon Jones,1610612752,NYK,5,4,1,24.0,0,3,0.0,0,0,1,0.0,0.0
1627734,Domantas Sabonis,1610612758,SAC,19,3,16,564.0,1,2,0.5,2,0,0,,0.5
1631230,Dominick Barlow,1610612755,PHI,59,33,26,1449.0,2,16,0.125,4,0,0,,0.125
1642270,Donovan Clingan,1610612757,POR,65,33,32,1774.0,3,16,0.188,8,2,14,0.143,0.25
1628378,Donovan Mitchell,1610612739,CLE,61,38,23,2043.0,225,570,0.395,565,115,342,0.336,0.496
1628978,Donte DiVincenzo,1610612750,MIN,70,43,27,2155.0,51,136,0.375,139,37,105,0.352,0.511
1627827,Dorian Finney-Smith,1610612745,HOU,32,20,12,562.0,1,5,0.2,3,1,4,0.25,0.3
203926,Doug McDermott,1610612758,SAC,19,4,15,251.0,2,8,0.25,6,2,8,0.25,0.375
1642962,Drake Powell,1610612751,BKN,52,13,39,1011.0,30,68,0.441,67,7,23,0.304,0.493
203110,Draymond Green,1610612744,GSW,56,27,29,1524.0,3,13,0.231,6,0,1,0.0,0.231
1629234,Drew Eubanks,1610612758,SAC,42,10,32,552.0,8,12,0.667,16,0,1,0.0,0.667
1641809,Drew Peterson,1610612766,CHA,6,1,5,64.0,0,1,0.0,0,0,0,,0.0
1631166,Drew Timme,1610612747,LAL,21,13,8,179.0,3,7,0.429,7,1,2,0.5,0.5
1630696,Dru Smith,1610612748,MIA,66,36,30,1115.0,15,38,0.395,35,5,19,0.263,0.461
1629130,Duncan Robinson,1610612765,DET,67,49,18,1847.0,45,122,0.369,127,37,104,0.356,0.52
1641871,Duop Reath,1610612757,POR,32,16,16,258.0,0,0,,0,0,0,,
203939,Dwight Powell,1610612742,DAL,53,16,37,713.0,0,0,,0,0,0,,
1642928,Dylan Cardwell,1610612758,SAC,33,9,24,684.0,1,2,0.5,2,0,0,,0.5
1642844,Dylan Harper,1610612759,SAS,57,43,14,1265.0,36,103,0.35,75,3,33,0.091,0.364
1630700,Dyson Daniels,1610612737,ATL,65,37,28,2164.0,22,44,0.5,44,0,8,0.0,0.5
1630604,E.J. Liddell,1610612751,BKN,16,2,14,122.0,0,4,0.0,0,0,1,0.0,0.0
1642856,Egor Dëmin,1610612751,BKN,52,14,38,1308.0,50,152,0.329,141,41,117,0.35,0.464
1641989,Elijah Harkless,1610612762,UTA,21,5,16,380.0,6,24,0.25,14,2,12,0.167,0.292
1641801,Emanuel Miller,1610612759,SAS,5,0,5,33.0,0,0,,0,0,0,,
1642402,Enrique Freeman,1610612750,MIN,2,1,1,8.0,0,0,,0,,,,
201569,Eric Gordon,1610612755,PHI,6,3,3,74.0,0,1,0.0,0,0,1,0.0,0.0
1630679,Ethan Thompson,1610612754,IND,24,5,19,417.0,6,24,0.25,15,3,10,0.3,0.313
1630596,Evan Mobley,1610612739,CLE,55,33,22,1785.0,32,91,0.352,74,10,38,0.263,0.407
1630532,Franz Wagner,1610612753,ORL,28,16,12,891.0,45,112,0.402,107,17,52,0.327,0.478
1641713,GG Jackson,1610612763,MEM,46,15,31,952.0,22,58,0.379,55,11,35,0.314,0.474
1629216,Gabe Vincent,1610612737,ATL,41,28,13,709.0,17,58,0.293,46,12,41,0.293,0.397
202066,Garrett Temple,1610612761,TOR,17,8,9,52.0,1,3,0.333,2,0,2,0.0,0.333
1629726,Garrison Mathews,1610612754,IND,15,4,11,196.0,1,6,0.167,2,0,5,0.0,0.167
203914,Gary Harris,1610612749,MIL,45,15,30,617.0,3,14,0.214,7,1,8,0.125,0.25
1627780,Gary Payton II,1610612744,GSW,62,29,33,907.0,4,11,0.364,11,3,7,0.429,0.5
1629018,Gary Trent Jr.,1610612749,MIL,57,22,35,1192.0,41,127,0.323,100,18,74,0.243,0.394
203507,Giannis Antetokounmpo,1610612749,MIL,36,17,19,1039.0,30,113,0.265,65,5,24,0.208,0.288
1629048,Goga Bitadze,1610612753,ORL,51,27,24,761.0,0,1,0.0,0,0,0,,0.0
1641711,Gradey Dick,1610612761,TOR,64,36,28,959.0,22,64,0.344,50,6,22,0.273,0.391
1641761,Grant Nelson,1610612751,BKN,4,0,4,35.0,0,0,,0,,,,
1629684,Grant Williams,1610612766,CHA,26,18,8,508.0,7,20,0.35,16,2,9,0.222,0.4
1628960,Grayson Allen,1610612756,PHX,44,24,20,1312.0,65,198,0.328,185,55,171,0.322,0.467
1627824,Guerschon Yabusele,1610612741,CHI,59,30,29,808.0,5,12,0.417,13,3,6,0.5,0.542
1630611,Gui Santos,1610612744,GSW,58,26,32,1099.0,3,16,0.188,8,2,13,0.154,0.25
203084,Harrison Barnes,1610612759,SAS,65,47,18,1723.0,19,61,0.311,49,11,35,0.314,0.402
1631127,Harrison Ingram,1610612759,SAS,5,4,1,17.0,0,0,,0,0,0,,
1629312,Haywood Highsmith,1610612756,PHX,6,3,3,80.0,2,4,0.5,5,1,2,0.5,0.625
1630529,Herbert Jones,1610612740,NOP,48,22,26,1388.0,22,63,0.349,54,10,35,0.286,0.429
1642864,Hugo González,1610612738,BOS,64,43,21,980.0,3,13,0.231,6,0,7,0.0,0.231
1630621,Hunter Dickinson,1610612740,NOP,1,0,1,5.0,0,0,,0,,,,
1642282,Hunter Sallis,1610612755,PHI,7,3,4,26.0,0,1,0.0,0,,,,0.0
1641816,Hunter Tyson,1610612743,DEN,21,15,6,162.0,1,6,0.167,3,1,4,0.25,0.25
1630193,Immanuel Quickley,1610612761,TOR,65,38,27,2114.0,111,299,0.371,257,35,130,0.269,0.43
1642403,Isaac Jones,1610612765,DET,5,3,2,24.0,0,0,,0,0,0,,
1630171,Isaac Okoro,1610612741,CHI,55,25,30,1480.0,8,21,0.381,23,7,20,0.35,0.548
1642268,Isaiah Collier,1610612762,UTA,59,16,43,1517.0,42,112,0.375,96,12,36,0.333,0.429
1642384,Isaiah Crawford,1610612745,HOU,11,5,6,67.0,0,1,0.0,0,0,1,0.0,0.0
1628392,Isaiah Hartenstein,1610612760,OKC,38,31,7,951.0,6,13,0.462,12,0,0,,0.462
