PLAYERID,FIRSTNAME,LASTNAME,TEAMID,TEAMABBREVIATION,TEAMNAME,TEAMCITY,OFFENSE,DEFENSE,FULL,SHOOTING,TURNOVERS,REBOUNDS,CREATION,ONBALLDEF,GAMESPLAYED,MINUTES,PTS,REB,AST
203114,Khris,Middleton,1610612742,DAL,Mavericks,Dallas,-0.0216173076,0.1079192307,0.0863153846,0.0117307692,-0.0910788461,0.0344288461,0.0785211538,0.0223461538,52,24.0,10.9,3.9,3.0
1630194,Paul,Reed,1610612765,DET,Pistons,Detroit,-0.014381923,0.1003723076,0.0860038461,0.0113565384,-0.0472275,0.0339401923,0.01929,0.0472409615,52,13.0,6.9,4.4,1.1
1630598,Aaron,Wiggins,1610612760,OKC,Thunder,Oklahoma City,-0.0429218181,0.1287145454,0.085790909,-0.0132218181,-0.0557654545,0.0300636363,0.04842,0.0429963636,55,22.9,9.9,3.3,1.8
1628989,Kevin,Huerter,1610612765,DET,Pistons,Detroit,-0.0433967241,0.1283486206,0.0849484482,-0.0250762068,-0.0526275862,0.0328334482,0.0577231034,0.0415718965,58,22.1,9.8,3.6,2.4
1630314,Brandon,Williams,1610612742,DAL,Mavericks,Dallas,-0.0371183333,0.1217566666,0.0846333333,-0.0092183333,-0.1049316666,0.02573,0.1014883333,0.0376883333,60,22.0,12.8,2.9,3.8
1630692,Jordan,Goodwin,1610612756,PHX,Suns,Phoenix,-0.0197215,0.1034261666,0.083708,-0.0184781666,-0.0404216666,0.0413016666,0.053852,0.0212156666,60,22.4,8.6,4.8,2.2
1630198,Isaiah,Joe,1610612760,OKC,Thunder,Oklahoma City,-0.0070459016,0.0896704918,0.0826229508,0.0047032786,-0.0262639344,0.0211278688,0.035114754,0.0181196721,61,21.9,11.0,2.7,1.4
1642271,Kyle,Filipowski,1610612762,UTA,Jazz,Utah,-0.0490842647,0.1314967647,0.0824110294,-0.0032611764,-0.0869966176,0.0647905882,0.0534730882,0.0265714705,68,22.9,10.6,6.9,2.4
1641775,Jordan,Walsh,1610612738,BOS,Celtics,Boston,-0.0143224137,0.0946844827,0.0803603448,0.0069344827,-0.0300465517,0.0307896551,0.0174568965,0.0307724137,58,17.3,5.3,4.1,0.7
203991,Clint,Capela,1610612745,HOU,Rockets,Houston,-0.0198709677,0.0989435483,0.0790645161,-0.0138790322,-0.0308806451,0.0401709677,0.0186225806,0.0433016129,62,12.5,3.8,4.6,0.6
1631222,Jake,LaRavia,1610612747,LAL,Lakers,Los Angeles,-0.0421384285,0.121068,0.0789367142,-0.0082402857,-0.0572022857,0.0322517142,0.0357831428,0.0400315714,70,24.7,8.6,3.9,1.8
1628963,Marvin,Bagley III,1610612742,DAL,Mavericks,Dallas,-0.0344961538,0.1106615384,0.0761596153,0.0043134615,-0.0664057692,0.0477480769,0.0300480769,0.0365096153,52,20.0,9.9,6.3,1.4
1631255,Karlo,Matković,1610612740,NOP,Pelicans,New Orleans,-0.0145582456,0.090241228,0.0756847368,0.0069707017,-0.027975614,0.030985614,0.0162371929,0.0296214035,57,14.5,5.6,3.7,0.8
1642948,Ryan,Nembhard,1610612742,DAL,Mavericks,Dallas,-0.0023693877,0.0779734693,0.0756020408,-0.0062653061,-0.0696346938,0.014955102,0.0926877551,0.0165448979,49,18.5,6.3,1.9,4.9
1630311,Pat,Spencer,1610612744,GSW,Warriors,Golden State,0.0086,0.0668773584,0.0754773584,-0.0041622641,-0.0539830188,0.0178113207,0.0833830188,0.0133150943,53,17.4,6.8,2.2,3.4
1642346,Ryan,Dunn,1610612756,PHX,Suns,Phoenix,-0.0265281967,0.1015178688,0.0749945901,-0.0189160655,-0.0303114754,0.0376744262,0.0348585245,0.0302804918,61,19.4,5.7,4.1,1.4
1641737,Adem,Bona,1610612755,PHI,76ers,Philadelphia,-0.0385255,0.1134703333,0.0749565,0.0005015,-0.0485978333,0.0408703333,0.0143561666,0.0441365,60,17.4,4.7,4.5,0.4
1629014,Anfernee,Simons,1610612741,CHI,Bulls,Chicago,-0.0209763636,0.0959181818,0.0749472727,0.0159581818,-0.0665145454,0.0226254545,0.0608018181,0.0159581818,55,24.9,14.3,2.5,2.4
