PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
1641722,Jordan Hawkins,1610612740,NOP,43,12,31,517.0,639,8,1,4,0.25,0,0,0.0,2,0.25,2,0.25,1,0.5,2,0.25,0,0.0
1629162,Jordan McLaughlin,1610612759,SAS,36,30,6,221.0,473,3,0,0,0.0,0,0,0.0,0,0.0,2,0.667,1,0.5,1,0.333,0,0.0
1641757,Jordan Miller,1610612746,LAC,49,29,20,1063.0,1614,27,10,14,0.714,2,4,0.5,22,0.815,9,0.333,2,0.222,0,0.0,2,0.074
1629673,Jordan Poole,1610612740,NOP,35,15,20,843.0,1587,3,2,2,1.0,0,0,0.0,4,1.333,1,0.333,0,0.0,0,0.0,0,0.0
1641775,Jordan Walsh,1610612738,BOS,58,38,20,998.0,1051,20,2,4,0.5,2,2,1.0,6,0.3,15,0.75,3,0.2,0,0.0,1,0.05
1630631,Jose Alvarado,1610612752,NYK,59,22,37,1202.0,2484,14,6,7,0.857,0,0,0.0,12,0.857,6,0.429,1,0.167,1,0.071,0,0.0
1630581,Josh Giddey,1610612741,CHI,48,20,28,1533.0,4495,44,7,15,0.467,5,6,0.833,20,0.455,21,0.477,2,0.095,4,0.091,3,0.068
1630182,Josh Green,1610612766,CHA,46,29,17,765.0,686,17,3,3,1.0,0,0,0.0,6,0.353,12,0.706,1,0.083,1,0.059,0,0.0
1628404,Josh Hart,1610612752,NYK,56,37,19,1678.0,3373,56,12,18,0.667,0,0,0.0,24,0.429,35,0.625,4,0.114,2,0.036,0,0.0
1631169,Josh Minott,1610612751,BKN,42,22,20,665.0,716,12,2,2,1.0,1,2,0.5,5,0.417,6,0.5,1,0.167,2,0.167,0,0.0
1629006,Josh Okogie,1610612745,HOU,65,39,26,1199.0,1241,35,1,4,0.25,4,6,0.667,6,0.171,27,0.771,3,0.111,1,0.029,3,0.086
201950,Jrue Holiday,1610612757,POR,41,20,21,1186.0,2786,54,7,14,0.5,4,4,1.0,20,0.37,33,0.611,8,0.242,5,0.093,2,0.037
