PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
1628449,Chris Boucher,1610612738,BOS,6,2,4,75.0,2,1,1,0.5,12,0.167,0,0.167,7.2,16,6,10,0.375,28,0.571,1,0.593,5.0,18,7,11,0.389,38,0.474,1,0.486,5.2
1641753,Chris Livingston,1610612739,CLE,1,0,1,14.0,0,0,0,0.0,0,0.0,0,0.0,0.0,3,1,2,0.333,5,0.6,2,1.0,7.8,3,1,2,0.333,5,0.6,2,1.0,7.8
1643024,Chris Mañon,1610612747,LAL,5,2,3,24.0,1,1,0,1.0,4,0.25,0,0.25,11.6,5,2,3,0.4,10,0.5,1,0.556,7.2,6,3,3,0.5,13,0.462,1,0.5,7.9
101108,Chris Paul,1610612746,LAC,15,4,11,213.0,6,1,5,0.167,9,0.667,1,0.75,11.0,22,5,17,0.227,36,0.611,1,0.629,8.5,28,6,22,0.214,44,0.636,2,0.667,9.1
1642959,Chris Youngblood,1610612757,POR,17,15,2,122.0,7,1,6,0.143,11,0.636,1,0.7,14.1,20,5,15,0.25,31,0.645,3,0.714,8.9,27,6,21,0.222,42,0.643,4,0.711,10.2
1631128,Christian Braun,1610612743,DEN,33,19,14,1063.0,51,22,28,0.431,109,0.468,7,0.5,10.0,117,14,103,0.12,180,0.65,16,0.713,7.9,168,36,131,0.214,279,0.602,23,0.656,8.5
1631132,Christian Koloko,1610612737,ATL,21,11,10,308.0,28,20,8,0.714,72,0.389,2,0.4,4.9,43,12,31,0.279,88,0.489,11,0.558,4.8,71,32,39,0.451,158,0.449,13,0.49,4.9
1642935,Chucky Hepburn,1610612761,TOR,1,0,1,5.0,0,0,0,0.0,0,0.0,0,0.0,0.0,1,0,1,0.0,2,0.5,0,0.5,13.9,1,0,1,0.0,2,0.5,0,0.5,13.9
203991,Clint Capela,1610612745,HOU,58,37,21,750.0,132,95,37,0.72,233,0.567,6,0.581,4.7,149,65,84,0.436,261,0.571,28,0.639,5.3,281,160,121,0.569,483,0.582,34,0.626,5.0
1629632,Coby White,1610612766,CHA,37,20,17,1005.0,10,4,6,0.4,41,0.244,2,0.256,17.9,124,18,106,0.145,217,0.571,15,0.614,8.5,134,22,112,0.164,252,0.532,17,0.57,9.2
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,1,1,0,1.0,8,0.125,1,0.143,4.3,13,4,9,0.308,25,0.52,2,0.565,6.5,14,5,9,0.357,33,0.424,3,0.467,6.4
1642262,Cody Williams,1610612762,UTA,48,13,35,1143.0,52,22,29,0.423,111,0.468,6,0.495,10.4,107,22,85,0.206,187,0.572,14,0.618,8.9,159,44,114,0.277,290,0.548,20,0.589,9.4
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,0,0,0,0.0,0,0.0,0,0.0,0.0,4,2,2,0.5,4,1.0,0,1.0,7.6,4,2,2,0.5,4,1.0,0,1.0,7.6
1630175,Cole Anthony,1610612749,MIL,30,10,20,508.0,16,6,10,0.375,38,0.421,1,0.432,15.0,71,10,61,0.141,116,0.612,9,0.664,8.3,87,16,71,0.184,153,0.569,10,0.608,9.6
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,0,0,0,0.0,2,0.0,0,0.0,0.0,4,1,3,0.25,6,0.667,0,0.667,3.9,4,1,3,0.25,7,0.571,0,0.571,3.9
1631221,Collin Gillespie,1610612756,PHX,67,38,29,1944.0,73,28,45,0.384,169,0.432,2,0.437,11.2,212,39,171,0.184,380,0.558,41,0.625,8.5,285,67,216,0.235,546,0.522,43,0.567,9.2
1642867,Collin Murray-Boyles,1610612761,TOR,46,24,22,1038.0,114,69,45,0.605,259,0.44,11,0.46,6.2,119,36,83,0.303,264,0.451,50,0.556,5.2,233,105,128,0.451,512,0.455,61,0.517,5.7
1629012,Collin Sexton,1610612741,CHI,44,17,27,1011.0,25,11,14,0.44,87,0.287,4,0.301,10.0,87,14,72,0.161,160,0.544,10,0.58,11.5,112,25,86,0.223,240,0.467,14,0.496,11.2
1642843,Cooper Flagg,1610612742,DAL,58,19,39,1946.0,68,31,35,0.456,199,0.342,6,0.352,8.8,315,77,238,0.244,543,0.58,57,0.648,5.4,383,108,273,0.282,700,0.547,63,0.601,6.0
1630557,Corey Kispert,1610612737,ATL,41,17,24,829.0,22,5,17,0.227,50,0.44,3,0.468,11.4,94,17,77,0.181,156,0.603,13,0.657,6.8,116,22,94,0.19,198,0.586,16,0.637,7.6
1641854,Craig Porter Jr.,1610612739,CLE,52,36,16,980.0,76,36,40,0.474,141,0.539,5,0.559,10.7,117,26,91,0.222,197,0.594,20,0.661,8.3,193,62,131,0.321,329,0.587,25,0.635,9.2
1642938,Curtis Jones,1610612743,DEN,5,4,1,27.0,1,0,1,0.0,1,1.0,0,1.0,6.8,4,0,4,0.0,5,0.8,0,0.8,7.5,5,0,5,0.0,6,0.833,0,0.833,7.3
1626156,D'Angelo Russell,1610612764,WAS,22,8,14,429.0,8,1,7,0.125,18,0.444,0,0.444,13.6,53,7,46,0.132,84,0.631,5,0.671,6.8,61,8,53,0.131,98,0.622,5,0.656,7.7
1641747,DaRon Holmes II,1610612743,DEN,13,7,6,182.0,6,4,2,0.667,19,0.316,1,0.333,12.5,23,6,17,0.261,49,0.469,7,0.548,6.1,29,10,19,0.345,65,0.446,8,0.509,7.4
1631342,Daeqwon Plowden,1610612758,SAC,20,6,14,499.0,23,8,15,0.348,45,0.511,1,0.523,10.8,44,13,31,0.295,86,0.512,6,0.55,6.8,67,21,46,0.313,130,0.515,7,0.545,8.1
1630625,Dalano Banton,1610612738,BOS,1,0,1,5.0,1,0,1,0.0,1,1.0,0,1.0,2.1,0,0,0,0.0,0,0.0,0,0.0,0.0,1,0,1,0.0,1,1.0,0,1.0,2.1
1631207,Dalen Terry,1610612755,PHI,28,12,16,426.0,22,12,10,0.545,50,0.44,2,0.458,7.9,57,15,42,0.263,105,0.543,5,0.57,5.5,79,27,52,0.342,153,0.516,7,0.541,6.2
1642261,Dalton Knecht,1610612747,LAL,32,18,14,424.0,13,4,9,0.308,34,0.382,0,0.382,8.1,55,14,41,0.255,85,0.647,7,0.705,6.1,68,18,50,0.265,114,0.596,7,0.636,6.5
