PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
1641801,Emanuel Miller,1610612759,SAS,5,0,5,33.0,30,30,4,0,0,1,8,4,0.133,0.133
1642402,Enrique Freeman,1610612750,MIN,2,1,1,8.0,7,2,0,0,0,0,0,0,0.0,0.0
201569,Eric Gordon,1610612755,PHI,6,3,3,74.0,74,81,3,0,0,5,6,3,0.041,0.041
1630679,Ethan Thompson,1610612754,IND,24,5,19,417.0,445,413,35,1,3,53,88,39,0.079,0.088
1630596,Evan Mobley,1610612739,CLE,55,33,22,1785.0,2589,2143,198,19,23,393,520,239,0.076,0.092
1630532,Franz Wagner,1610612753,ORL,28,16,12,891.0,1011,1146,101,15,11,190,270,127,0.1,0.126
1641713,GG Jackson,1610612763,MEM,46,15,31,952.0,1161,1070,65,3,11,116,162,78,0.056,0.067
1629216,Gabe Vincent,1610612737,ATL,41,28,13,709.0,718,744,57,3,7,98,141,68,0.079,0.095
202066,Garrett Temple,1610612761,TOR,17,8,9,52.0,83,77,6,0,0,6,14,6,0.072,0.072
1629726,Garrison Mathews,1610612754,IND,15,4,11,196.0,184,166,10,0,0,19,23,10,0.054,0.054
203914,Gary Harris,1610612749,MIL,45,15,30,617.0,538,397,46,4,6,71,120,56,0.086,0.104
1627780,Gary Payton II,1610612744,GSW,62,29,33,907.0,1289,1055,104,4,14,185,265,122,0.081,0.095
1629018,Gary Trent Jr.,1610612749,MIL,57,22,35,1192.0,650,929,70,1,10,93,168,81,0.108,0.125
203507,Giannis Antetokounmpo,1610612749,MIL,36,17,19,1039.0,1559,1804,196,9,35,386,547,239,0.126,0.153
1629048,Goga Bitadze,1610612753,ORL,51,27,24,761.0,819,608,59,3,0,79,137,60,0.072,0.073
1641711,Gradey Dick,1610612761,TOR,64,36,28,959.0,641,767,42,6,8,88,109,56,0.066,0.087
1641761,Grant Nelson,1610612751,BKN,4,0,4,35.0,38,44,5,0,1,9,12,6,0.132,0.158
1629684,Grant Williams,1610612766,CHA,26,18,8,508.0,519,424,46,3,8,78,123,57,0.089,0.11
1628960,Grayson Allen,1610612756,PHX,44,24,20,1312.0,1647,1896,182,22,18,322,483,218,0.111,0.132
1627824,Guerschon Yabusele,1610612741,CHI,59,30,29,808.0,820,734,53,2,9,81,140,64,0.065,0.078
1630611,Gui Santos,1610612744,GSW,58,26,32,1099.0,1523,1359,122,8,28,223,323,159,0.08,0.104
203084,Harrison Barnes,1610612759,SAS,65,47,18,1723.0,1490,1368,133,12,12,218,339,157,0.089,0.105
1631127,Harrison Ingram,1610612759,SAS,5,4,1,17.0,20,14,1,0,1,3,5,3,0.05,0.15
1629312,Haywood Highsmith,1610612756,PHX,6,3,3,80.0,69,45,7,1,1,12,22,9,0.101,0.13
1630529,Herbert Jones,1610612740,NOP,48,22,26,1388.0,1694,1394,133,11,9,219,334,153,0.079,0.09
1642864,Hugo González,1610612738,BOS,64,43,21,980.0,849,557,37,2,12,79,99,51,0.044,0.06
1630621,Hunter Dickinson,1610612740,NOP,1,0,1,5.0,4,7,0,0,0,1,0,0,0.0,0.0
1642282,Hunter Sallis,1610612755,PHI,7,3,4,26.0,51,57,4,1,2,8,13,7,0.078,0.137
1641816,Hunter Tyson,1610612743,DEN,21,15,6,162.0,145,129,17,0,2,22,45,19,0.117,0.131
