PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,21,0,0.0,6,0.143,0,0.0,8,0.8,0,0.0,2,1.0,0.36
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,9,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.571
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,47,12,0.375,9,0.273,29,0.289,0,0.0,0,0.0,0,0.0,0.411
1642959,Chris Youngblood,1610612757,POR,32,27,5,174.0,65,2,0.0,45,0.319,5,0.286,4,1.0,0,0.0,3,1.0,0.467
1631128,Christian Braun,1610612743,DEN,34,19,15,1088.0,396,25,0.429,88,0.309,20,0.276,109,0.677,1,0.0,44,0.607,0.559
1631132,Christian Koloko,1610612737,ATL,23,13,10,314.0,62,0,0.0,7,0.231,2,1.0,44,0.5,0,0.0,3,0.167,0.444
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
203991,Clint Capela,1610612745,HOU,62,37,25,776.0,235,9,0.4,0,0.0,0,0.0,197,0.538,4,0.667,34,0.545,0.513
1629632,Coby White,1610612766,CHA,39,21,18,1043.0,692,238,0.516,178,0.387,144,0.331,9,0.8,0,0.0,5,0.5,0.529
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,7,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.2
1642262,Cody Williams,1610612762,UTA,56,15,41,1244.0,408,96,0.476,75,0.269,32,0.364,92,0.721,0,0.0,20,0.474,0.522
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.333
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,234,122,0.487,42,0.318,90,0.41,6,0.5,0,0.0,0,0.0,0.472
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,2,0,0.0,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0.333
1631221,Collin Gillespie,1610612756,PHX,69,38,31,1998.0,912,159,0.445,365,0.492,380,0.379,19,0.692,0,0.0,11,0.8,0.57
1642867,Collin Murray-Boyles,1610612761,TOR,47,25,22,1046.0,366,27,0.5,54,0.317,5,0.286,184,0.615,10,0.833,47,0.606,0.589
1629012,Collin Sexton,1610612741,CHI,56,22,34,1275.0,813,321,0.522,177,0.423,135,0.346,37,0.667,0,0.0,19,0.5,0.56
1642843,Cooper Flagg,1610612742,DAL,58,19,39,1946.0,1167,512,0.501,87,0.313,274,0.344,117,0.726,17,0.571,58,0.667,0.5
1630557,Corey Kispert,1610612737,ATL,48,21,27,933.0,457,104,0.615,189,0.368,37,0.341,51,0.742,0,0.0,12,0.5,0.576
1642504,Cormac Ryan,1610612749,MIL,1,0,1,8.0,5,0,0.0,3,0.333,0,0.0,0,0.0,0,0.0,0,0.0,0.375
1641854,Craig Porter Jr.,1610612739,CLE,58,39,19,1024.0,258,92,0.447,42,0.35,80,0.395,30,0.6,0,0.0,18,0.615,0.509
