PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
1629048,Goga Bitadze,1610612753,ORL,51,27,24,761.0,4,16,0.25,10,2,11,0.182,0.313
1641711,Gradey Dick,1610612761,TOR,64,36,28,959.0,49,155,0.316,143,45,148,0.304,0.461
1641761,Grant Nelson,1610612751,BKN,4,0,4,35.0,0,1,0.0,0,,,,0.0
1629684,Grant Williams,1610612766,CHA,26,18,8,508.0,40,93,0.43,115,35,88,0.398,0.618
1628960,Grayson Allen,1610612756,PHX,44,24,20,1312.0,81,212,0.382,243,81,212,0.382,0.573
1627824,Guerschon Yabusele,1610612741,CHI,59,30,29,808.0,53,145,0.366,158,52,141,0.369,0.545
1630611,Gui Santos,1610612744,GSW,58,26,32,1099.0,61,164,0.372,182,60,162,0.37,0.555
203084,Harrison Barnes,1610612759,SAS,65,47,18,1723.0,107,278,0.385,321,107,276,0.388,0.577
1631127,Harrison Ingram,1610612759,SAS,5,4,1,17.0,1,1,1.0,3,1,1,1.0,1.5
1629312,Haywood Highsmith,1610612756,PHX,6,3,3,80.0,7,11,0.636,21,7,11,0.636,0.955
1630529,Herbert Jones,1610612740,NOP,48,22,26,1388.0,55,189,0.291,164,54,181,0.298,0.434
1642864,Hugo González,1610612738,BOS,64,43,21,980.0,35,99,0.354,105,35,97,0.361,0.53
1630621,Hunter Dickinson,1610612740,NOP,1,0,1,5.0,1,2,0.5,2,,,,0.5
1642282,Hunter Sallis,1610612755,PHI,7,3,4,26.0,0,0,,0,,,,
1641816,Hunter Tyson,1610612743,DEN,21,15,6,162.0,7,31,0.226,20,6,29,0.207,0.323
1630193,Immanuel Quickley,1610612761,TOR,65,38,27,2114.0,142,336,0.423,416,132,318,0.415,0.619
1642403,Isaac Jones,1610612765,DET,5,3,2,24.0,0,2,0.0,0,0,2,0.0,0.0
