PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
1630592,Jalen Wilson,1610612751,BKN,45,8,37,638.0,17,2,65,39,56,0.696
1631288,Jamal Cain,1610612753,ORL,27,15,12,215.0,7,2,19,18,25,0.72
1627750,Jamal Murray,1610612743,DEN,65,38,27,2273.0,60,23,259,134,181,0.74
1642347,Jamal Shead,1610612761,TOR,68,39,29,1494.0,63,11,108,50,64,0.781
1631123,Jamaree Bouyea,1610612756,PHX,36,18,18,527.0,25,14,52,29,45,0.644
201935,James Harden,1610612739,CLE,60,33,27,2097.0,69,23,258,106,134,0.791
1630164,James Wiseman,1610612754,IND,4,0,4,58.0,0,1,3,2,6,0.333
1642364,Jamir Watkins,1610612764,WAS,37,9,28,699.0,37,21,94,77,118,0.653
1642419,Jamison Battle,1610612761,TOR,50,29,21,440.0,6,2,57,24,42,0.571
1641716,Jarace Walker,1610612754,IND,69,14,55,1765.0,57,24,310,133,183,0.727
1642272,Jared McCain,1610612760,OKC,55,37,18,958.0,32,4,99,64,78,0.821
1628991,Jaren Jackson Jr.,1610612762,UTA,48,19,29,1455.0,53,69,230,138,253,0.545
1629020,Jarred Vanderbilt,1610612747,LAL,55,33,22,978.0,46,18,178,61,94,0.649
1628386,Jarrett Allen,1610612739,CLE,51,33,18,1405.0,50,44,299,120,235,0.511
1642859,Jase Richardson,1610612753,ORL,46,21,25,519.0,16,2,35,19,22,0.864
1642914,Javon Small,1610612763,MEM,33,12,21,626.0,25,9,72,26,44,0.591
1631451,Javonte Cooke,1610612757,POR,19,6,13,94.0,6,0,15,7,10,0.7
1629750,Javonte Green,1610612765,DET,69,50,19,1224.0,88,21,133,61,79,0.772
1629637,Jaxson Hayes,1610612747,LAL,58,38,20,1019.0,23,36,142,73,120,0.608
1630643,Jay Huff,1610612754,IND,70,15,55,1448.0,37,133,204,207,375,0.552
1627759,Jaylen Brown,1610612738,BOS,62,40,22,2116.0,63,26,365,85,125,0.68
1641740,Jaylen Clark,1610612750,MIN,60,35,25,749.0,39,8,56,48,70,0.686
1642377,Jaylen Wells,1610612763,MEM,66,24,42,1756.0,58,9,157,97,128,0.758
1631119,Jaylin Williams,1610612760,OKC,55,45,10,1120.0,28,35,270,89,149,0.597
1642281,Jaylon Tyson,1610612739,CLE,64,40,24,1727.0,50,26,212,86,121,0.711
1643257,Jayson Kent,1610612757,POR,1,1,0,3.0,0,0,1,0,1,0.0
1628369,Jayson Tatum,1610612738,BOS,6,5,1,176.0,7,0,46,6,10,0.6
201145,Jeff Green,1610612745,HOU,25,17,8,134.0,1,1,14,8,11,0.727
203924,Jerami Grant,1610612757,POR,54,25,29,1610.0,38,32,137,83,120,0.692
1642847,Jeremiah Fears,1610612740,NOP,71,25,46,1774.0,80,24,208,132,181,0.729
1630526,Jeremiah Robinson-Earl,1610612742,DAL,22,8,14,361.0,9,1,67,38,49,0.776
1631110,Jeremy Sochan,1610612752,NYK,39,27,12,416.0,15,6,57,32,52,0.615
1630579,Jericho Sims,1610612749,MIL,54,21,33,956.0,10,13,172,58,90,0.644
1641724,Jett Howard,1610612753,ORL,47,25,22,598.0,10,10,58,43,61,0.705
1628975,Jevon Carter,1610612753,ORL,40,19,21,608.0,27,9,55,24,38,0.632
202710,Jimmy Butler III,1610612744,GSW,38,23,15,1182.0,55,8,123,65,83,0.783
1642866,Joan Beringer,1610612750,MIN,32,17,15,218.0,4,14,32,30,56,0.536
1629111,Jock Landale,1610612737,ATL,62,31,31,1370.0,30,30,183,148,216,0.685
204060,Joe Ingles,1610612750,MIN,24,12,12,98.0,7,1,9,7,9,0.778
203954,Joel Embiid,1610612755,PHI,33,21,12,1029.0,21,35,182,135,219,0.616
1628381,John Collins,1610612746,LAC,58,25,33,1596.0,49,45,220,84,148,0.568
1629723,John Konchar,1610612762,UTA,44,17,27,759.0,60,24,110,74,103,0.718
1642967,John Poulakidas,1610612742,DAL,3,1,2,47.0,2,0,9,3,4,0.75
1642910,John Tonje,1610612738,BOS,3,3,0,11.0,0,0,2,0,0,0.0
1641780,Johni Broome,1610612755,PHI,11,5,6,55.0,3,2,9,8,13,0.615
1642277,Johnny Furphy,1610612754,IND,35,10,25,643.0,20,7,121,69,99,0.697
1630548,Johnny Juzang,1610612750,MIN,21,13,8,88.0,2,1,12,6,7,0.857
202685,Jonas Valančiūnas,1610612743,DEN,58,35,23,773.0,14,31,198,69,120,0.575
1628371,Jonathan Isaac,1610612753,ORL,52,29,23,521.0,20,31,89,44,83,0.53
1630228,Jonathan Kuminga,1610612737,ATL,26,15,11,612.0,14,7,120,30,44,0.682
1642367,Jonathan Mogbo,1610612761,TOR,29,13,16,169.0,5,5,31,19,29,0.655
203903,Jordan Clarkson,1610612752,NYK,60,37,23,1078.0,23,9,53,49,72,0.681
1630692,Jordan Goodwin,1610612756,PHX,60,34,26,1339.0,88,12,172,72,101,0.713
1641722,Jordan Hawkins,1610612740,NOP,43,12,31,517.0,8,7,50,48,66,0.727
1629162,Jordan McLaughlin,1610612759,SAS,36,30,6,221.0,14,2,21,11,14,0.786
1641757,Jordan Miller,1610612746,LAC,49,29,20,1063.0,37,8,106,93,124,0.75
1629673,Jordan Poole,1610612740,NOP,35,15,20,843.0,20,14,62,41,63,0.651
1641775,Jordan Walsh,1610612738,BOS,58,38,20,998.0,41,24,160,70,112,0.625
1630631,Jose Alvarado,1610612752,NYK,59,22,37,1202.0,57,6,127,50,63,0.794
1630581,Josh Giddey,1610612741,CHI,48,20,28,1533.0,51,19,340,113,160,0.706
1630182,Josh Green,1610612766,CHA,46,29,17,765.0,29,5,51,17,27,0.63
1628404,Josh Hart,1610612752,NYK,56,37,19,1678.0,62,17,341,126,183,0.689
