player_id,player_name,team_abbr,team_name
1641771,Jalen Slawson,IND,Indiana Pacers
1641716,Jarace Walker,IND,Indiana Pacers
1630643,Jay Huff,IND,Indiana Pacers
1642277,Johnny Furphy,IND,Indiana Pacers
1642880,Kam Jones,IND,Indiana Pacers
1641738,Kobe Brown,IND,Indiana Pacers
1630695,Micah Potter,IND,Indiana Pacers
1630167,Obi Toppin,IND,Indiana Pacers
1627783,Pascal Siakam,IND,Indiana Pacers
1631245,Quenton Jackson,IND,Indiana Pacers
204456,T.J. McConnell,IND,Indiana Pacers
1643007,Taelon Peter,IND,Indiana Pacers
1630169,Tyrese Haliburton,IND,Indiana Pacers
1631097,Bennedict Mathurin,LAC,LA Clippers
203992,Bogdan Bogdanović,LAC,LA Clippers
203078,Bradley Beal,LAC,LA Clippers
201572,Brook Lopez,LAC,LA Clippers
1642353,Cam Christie,LAC,LA Clippers
1629636,Darius Garland,LAC,LA Clippers
1627884,Derrick Jones Jr.,LAC,LA Clippers
1630543,Isaiah Jackson,LAC,LA Clippers
1628381,John Collins,LAC,LA Clippers
1641757,Jordan Miller,LAC,LA Clippers
202695,Kawhi Leonard,LAC,LA Clippers
1642920,Kobe Sanders,LAC,LA Clippers
1627739,Kris Dunn,LAC,LA Clippers
201587,Nicolas Batum,LAC,LA Clippers
1641807,Norchad Omier,LAC,LA Clippers
1642951,Sean Pedulla,LAC,LA Clippers
1631102,TyTy Washington Jr.,LAC,LA Clippers
1642949,Yanic Konan Niederhäuser,LAC,LA Clippers
1642876,Adou Thiero,LAL,Los Angeles Lakers
1630559,Austin Reaves,LAL,Los Angeles Lakers
1642355,Bronny James,LAL,Los Angeles Lakers
1643024,Chris Mañon,LAL,Los Angeles Lakers
1642261,Dalton Knecht,LAL,Los Angeles Lakers
1629028,Deandre Ayton,LAL,Los Angeles Lakers
1631166,Drew Timme,LAL,Los Angeles Lakers
1631222,Jake LaRavia,LAL,Los Angeles Lakers
1629020,Jarred Vanderbilt,LAL,Los Angeles Lakers
1629637,Jaxson Hayes,LAL,Los Angeles Lakers
1641723,Kobe Bufkin,LAL,Los Angeles Lakers
2544,LeBron James,LAL,Los Angeles Lakers
1629029,Luka Dončić,LAL,Los Angeles Lakers
1628379,Luke Kennard,LAL,Los Angeles Lakers
203935,Marcus Smart,LAL,Los Angeles Lakers
1628467,Maxi Kleber,LAL,Los Angeles Lakers
1641733,Nick Smith Jr.,LAL,Los Angeles Lakers
1629060,Rui Hachimura,LAL,Los Angeles Lakers
1629634,Brandon Clarke,MEM,Memphis Grizzlies
1642285,Cam Spencer,MEM,Memphis Grizzlies
1642907,Cedric Coward,MEM,Memphis Grizzlies
1630610,DeJon Jarreau,MEM,Memphis Grizzlies
1641713,GG Jackson,MEM,Memphis Grizzlies
1629630,Ja Morant,MEM,Memphis Grizzlies
1642942,Jahmai Mashack,MEM,Memphis Grizzlies
1642914,Javon Small,MEM,Memphis Grizzlies
1642377,Jaylen Wells,MEM,Memphis Grizzlies
203484,Kentavious Caldwell-Pope,MEM,Memphis Grizzlies
1641765,Olivier-Maxence Prosper,MEM,Memphis Grizzlies
1641712,Rayan Rupert,MEM,Memphis Grizzlies
1630583,Santi Aldama,MEM,Memphis Grizzlies
1630590,Scotty Pippen Jr.,MEM,Memphis Grizzlies
201959,Taj Gibson,MEM,Memphis Grizzlies
1641707,Taylor Hendricks,MEM,Memphis Grizzlies
1629660,Ty Jerome,MEM,Memphis Grizzlies
1631174,Tyler Burton,MEM,Memphis Grizzlies
1642383,Walter Clayton Jr.,MEM,Memphis Grizzlies
1641744,Zach Edey,MEM,Memphis Grizzlies
203952,Andrew Wiggins,MIA,Miami Heat
1628389,Bam Adebayo,MIA,Miami Heat
1630558,Davion Mitchell,MIA,Miami Heat
1630696,Dru Smith,MIA,Miami Heat
1642443,Jahmir Young,MIA,Miami Heat
1631170,Jaime Jaquez Jr.,MIA,Miami Heat
1642857,Kasparas Jakučionis,MIA,Miami Heat
1642276,Kel'el Ware,MIA,Miami Heat
1642352,Keshad Johnson,MIA,Miami Heat
1642066,Myron Gardner,MIA,Miami Heat
1631107,Nikola Jović,MIA,Miami Heat
1626181,Norman Powell,MIA,Miami Heat
1641796,Pelle Larsson,MIA,Miami Heat
1631323,Simone Fontecchio,MIA,Miami Heat
1626179,Terry Rozier,MIA,Miami Heat
1631211,Trevor Keels,MIA,Miami Heat
1629639,Tyler Herro,MIA,Miami Heat
1642884,Vladislav Goldin,MIA,Miami Heat
1631260,AJ Green,MIL,Milwaukee Bucks
1641748,Andre Jackson Jr.,MIL,Milwaukee Bucks
1626171,Bobby Portis,MIL,Milwaukee Bucks
1630560,Cam Thomas,MIL,Milwaukee Bucks
1642504,Cormac Ryan,MIL,Milwaukee Bucks
203914,Gary Harris,MIL,Milwaukee Bucks
1629018,Gary Trent Jr.,MIL,Milwaukee Bucks
203507,Giannis Antetokounmpo,MIL,Milwaukee Bucks
1630579,Jericho Sims,MIL,Milwaukee Bucks
1629645,Kevin Porter Jr.,MIL,Milwaukee Bucks
1628398,Kyle Kuzma,MIL,Milwaukee Bucks
1626167,Myles Turner,MIL,Milwaukee Bucks
1631172,Ousmane Dieng,MIL,Milwaukee Bucks
1631250,Pete Nance,MIL,Milwaukee Bucks
1631157,Ryan Rollins,MIL,Milwaukee Bucks
1627752,Taurean Prince,MIL,Milwaukee Bucks
203648,Thanasis Antetokounmpo,MIL,Milwaukee Bucks
1630162,Anthony Edwards,MIN,Minnesota Timberwolves
1630245,Ayo Dosunmu,MIN,Minnesota Timberwolves
1630538,Bones Hyland,MIN,Minnesota Timberwolves
1628978,Donte DiVincenzo,MIN,Minnesota Timberwolves
1642402,Enrique Freeman,MIN,Minnesota Timberwolves
1630183,Jaden McDaniels,MIN,Minnesota Timberwolves
1641740,Jaylen Clark,MIN,Minnesota Timberwolves
1642866,Joan Beringer,MIN,Minnesota Timberwolves
204060,Joe Ingles,MIN,Minnesota Timberwolves
1641763,Julian Phillips,MIN,Minnesota Timberwolves
203944,Julius Randle,MIN,Minnesota Timberwolves
203937,Kyle Anderson,MIN,Minnesota Timberwolves
201144,Mike Conley,MIN,Minnesota Timberwolves
1629675,Naz Reid,MIN,Minnesota Timberwolves
1642911,Rocco Zikarsky,MIN,Minnesota Timberwolves
203497,Rudy Gobert,MIN,Minnesota Timberwolves
1630545,Terrence Shannon Jr.,MIN,Minnesota Timberwolves
1642389,Zyon Pullin,MIN,Minnesota Timberwolves
1631121,Bryce McGowens,NOP,New Orleans Pelicans
201599,DeAndre Jordan,NOP,New Orleans Pelicans
1627749,Dejounte Murray,NOP,New Orleans Pelicans
1642852,Derik Queen,NOP,New Orleans Pelicans
1630529,Herbert Jones,NOP,New Orleans Pelicans
1630621,Hunter Dickinson,NOP,New Orleans Pelicans
1642847,Jeremiah Fears,NOP,New Orleans Pelicans
1641722,Jordan Hawkins,NOP,New Orleans Pelicans
1629673,Jordan Poole,NOP,New Orleans Pelicans
1642490,Josh Oduro,NOP,New Orleans Pelicans
1631255,Karlo Matković,NOP,New Orleans Pelicans
1626172,Kevon Looney,NOP,New Orleans Pelicans
1642877,Micah Peavy,NOP,New Orleans Pelicans
1630180,Saddiq Bey,NOP,New Orleans Pelicans
1641725,Trey Alexander,NOP,New Orleans Pelicans
1630530,Trey Murphy III,NOP,New Orleans Pelicans
1642274,Yves Missi,NOP,New Orleans Pelicans
1629627,Zion Williamson,NOP,New Orleans Pelicans
1630574,Ariel Hukporti,NYK,New York Knicks
1641794,Dillon Jones,NYK,New York Knicks
1628973,Jalen Brunson,NYK,New York Knicks
1631110,Jeremy Sochan,NYK,New York Knicks
203903,Jordan Clarkson,NYK,New York Knicks
1630631,Jose Alvarado,NYK,New York Knicks
1628404,Josh Hart,NYK,New York Knicks
1626157,Karl-Anthony Towns,NYK,New York Knicks
1641755,Kevin McCullar Jr.,NYK,New York Knicks
1629013,Landry Shamet,NYK,New York Knicks
1628969,Mikal Bridges,NYK,New York Knicks
1630540,Miles McBride,NYK,New York Knicks
1629011,Mitchell Robinson,NYK,New York Knicks
1642885,Mohamed Diawara,NYK,New York Knicks
1628384,OG Anunoby,NYK,New York Knicks
1642359,Pacôme Dadiet,NYK,New York Knicks
1641998,Trey Jemison III,NYK,New York Knicks
1642278,Tyler Kolek,NYK,New York Knicks
1630598,Aaron Wiggins,OKC,Oklahoma City Thunder
1642349,Ajay Mitchell,OKC,Oklahoma City Thunder
1627936,Alex Caruso,OKC,Oklahoma City Thunder
1642382,Branden Carlson,OKC,Oklahoma City Thunder
1642964,Brooks Barnhizer,OKC,Oklahoma City Thunder
1641717,Cason Wallace,OKC,Oklahoma City Thunder
1631096,Chet Holmgren,OKC,Oklahoma City Thunder
1628392,Isaiah Hartenstein,OKC,Oklahoma City Thunder
1630198,Isaiah Joe,OKC,Oklahoma City Thunder
1631114,Jalen Williams,OKC,Oklahoma City Thunder
1642272,Jared McCain,OKC,Oklahoma City Thunder
1631119,Jaylin Williams,OKC,Oklahoma City Thunder
1629026,Kenrich Williams,OKC,Oklahoma City Thunder
1629652,Luguentz Dort,OKC,Oklahoma City Thunder
1642260,Nikola Topić,OKC,Oklahoma City Thunder
1642362,Payton Sandfort,OKC,Oklahoma City Thunder
1628983,Shai Gilgeous-Alexander,OKC,Oklahoma City Thunder
1631457,Alex Morales,ORL,Orlando Magic
1641710,Anthony Black,ORL,Orlando Magic
1630658,Colin Castleton,ORL,Orlando Magic
1630217,Desmond Bane,ORL,Orlando Magic
1630532,Franz Wagner,ORL,Orlando Magic
1629048,Goga Bitadze,ORL,Orlando Magic
1630591,Jalen Suggs,ORL,Orlando Magic
1631288,Jamal Cain,ORL,Orlando Magic
1642859,Jase Richardson,ORL,Orlando Magic
1641724,Jett Howard,ORL,Orlando Magic
1628975,Jevon Carter,ORL,Orlando Magic
1628371,Jonathan Isaac,ORL,Orlando Magic
1629021,Moritz Wagner,ORL,Orlando Magic
1642869,Noah Penda,ORL,Orlando Magic
1631094,Paolo Banchero,ORL,Orlando Magic
1641783,Tristan da Silva,ORL,Orlando Magic
1628976,Wendell Carter Jr.,ORL,Orlando Magic
1641737,Adem Bona,PHI,Philadelphia 76ers
203083,Andre Drummond,PHI,Philadelphia 76ers
1626166,Cameron Payne,PHI,Philadelphia 76ers
1631207,Dalen Terry,PHI,Philadelphia 76ers
1631230,Dominick Barlow,PHI,Philadelphia 76ers
1631133,Jabari Walker,PHI,Philadelphia 76ers
