player_id,player_name,team_abbr,game_id,game_date,opponent,pts,fga,fta,scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1b_events,C1b_pts,C2_events,C2_pts,C3_events,C3_pts,C4_events,C4_pts,C5_events,C5_pts,C6a_events,C6a_pts,C6b_events,C6b_pts,C6c_events,C6c_pts,C6d_events,C6d_pts,C6e_events,C6e_pts,C6f_events,C6f_pts,q1_pure_ts,q1_sp,q1_std_ts,q1_delta,q2_pure_ts,q2_sp,q2_std_ts,q2_delta,q3_pure_ts,q3_sp,q3_std_ts,q3_delta,q4_pure_ts,q4_sp,q4_std_ts,q4_delta,q1_pts,q1_fgm,q1_fga,q1_fg3m,q1_fg3a,q1_ftm,q1_fta,q2_pts,q2_fgm,q2_fga,q2_fg3m,q2_fg3a,q2_ftm,q2_fta,q3_pts,q3_fgm,q3_fga,q3_fg3m,q3_fg3a,q3_ftm,q3_fta,q4_pts,q4_fgm,q4_fga,q4_fg3m,q4_fg3a,q4_ftm,q4_fta
1630173,Precious Achiuwa,TOR,0022100675,"Jan 19, 2022",DAL,12,10,3,11,50.0,53.0,-3.0,8,8,1,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,4,50.0,0.0,44.44,4,51.55,-7.1,57.14,3,58.14,-1.0,,0,,,4,2,4,0,0,0,0,4,1,3,0,1,2,2,4,2,3,0,0,0,1,0,0,0,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100689,"Jan 21, 2022",WAS,5,5,0,5,41.67,50.0,-8.33,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,100.0,1,150.0,-50.0,,0,,,33.33,3,33.33,0.0,0,0,1,0,1,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100702,"Jan 23, 2022",POR,3,2,2,3,50.0,52.08,-2.08,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,100.0,1,100.0,0.0,,0,,,50.0,1,56.82,-6.82,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
1630173,Precious Achiuwa,TOR,0022100715,"Jan 25, 2022",CHA,9,6,5,8,50.0,54.88,-4.88,4,2,1,3,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,3,33.33,0.0,70.0,4,83.33,-13.33,0.0,1,0.0,0.0,,0,,,2,1,3,0,0,0,0,7,2,2,1,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100472,"Jan 26, 2022",CHI,3,4,2,5,25.0,30.74,-5.74,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,2,50.0,-10.0,25.0,2,26.6,-1.6,,0,,,0.0,1,0.0,0.0,2,1,2,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1630173,Precious Achiuwa,TOR,0022100748,"Jan 29, 2022",MIA,8,5,0,5,80.0,80.0,0.0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,1,100.0,0.0,100.0,2,100.0,0.0,100.0,1,100.0,0.0,0.0,1,0.0,0.0,2,1,1,0,0,0,0,4,2,2,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100767,"Jan 31, 2022",ATL,7,6,0,6,53.85,58.33,-4.49,5,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,2,50.0,0.0,71.43,3,83.33,-11.9,0.0,1,0.0,0.0,,0,,,2,1,2,0,0,0,0,5,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1630173,Precious Achiuwa,TOR,0022100784,"Feb 01, 2022",MIA,12,7,2,8,63.16,76.14,-12.98,4,6,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,2,50.0,0.0,50.0,4,64.43,-14.43,100.0,1,100.0,0.0,100.0,1,150.0,-50.0,2,1,2,0,0,0,0,5,2,3,1,2,0,2,2,1,1,0,0,0,0,3,1,1,1,1,0,0
1630173,Precious Achiuwa,TOR,0022100430,"Feb 03, 2022",CHI,5,9,1,9,26.32,26.48,-0.17,8,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,4,25.0,0.0,,0,,,0.0,2,0.0,0.0,42.86,3,43.6,-0.75,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,3,0,0,1,1
1630173,Precious Achiuwa,TOR,0022100790,"Feb 04, 2022",ATL,10,6,0,6,71.43,83.33,-11.9,4,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,2,50.0,0.0,100.0,1,100.0,0.0,,0,,,75.0,3,100.0,-25.0,2,1,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,3,2,2,0,0
